Period\Unit:,[Chinese yuan renminbi ],[Indian rupee ]
15-12-2023,7.7812,90.941
14-12-2023,7.7866,90.993
13-12-2023,7.7426,89.9635
12-12-2023,7.7447,90.0765
11-12-2023,7.7206,89.6798
08-12-2023,7.7179,89.8875
07-12-2023,7.7058,89.794
06-12-2023,7.7148,89.8275
05-12-2023,7.7269,90.1885
04-12-2023,7.758,90.62
01-12-2023,7.7685,90.6125
30-11-2023,7.8008,91.1143
29-11-2023,7.8296,91.528
28-11-2023,7.8323,91.255
27-11-2023,7.8331,91.2743
24-11-2023,7.809,91.039
23-11-2023,7.7852,90.815
22-11-2023,7.8015,90.903
21-11-2023,7.8178,91.2425
20-11-2023,7.8378,91.106
17-11-2023,7.8414,90.5065
16-11-2023,7.8655,90.3145
15-11-2023,7.8702,90.2937
14-11-2023,7.8171,89.1958
13-11-2023,7.7794,88.844
10-11-2023,7.7874,88.9803
09-11-2023,7.7886,89.053
08-11-2023,7.7699,88.876
07-11-2023,7.7839,88.9765
06-11-2023,7.8094,89.396
03-11-2023,7.8193,89.0545
02-11-2023,7.8009,88.704
01-11-2023,7.712,87.7525
31-10-2023,7.7686,88.4195
30-10-2023,7.7595,88.305
27-10-2023,7.7143,87.751
26-10-2023,7.7142,87.7355
25-10-2023,7.7381,87.9665
24-10-2023,7.772,88.3058
23-10-2023,7.7529,88.101
20-10-2023,7.7489,87.983
19-10-2023,7.7233,87.87
18-10-2023,7.7278,87.954
17-10-2023,7.7288,87.9585
16-10-2023,7.7058,87.7315
13-10-2023,7.6902,87.634
12-10-2023,7.7514,88.3925
11-10-2023,7.7433,88.198
10-10-2023,7.7238,88.0845
09-10-2023,7.6784,87.7205
06-10-2023,7.7162,87.834
05-10-2023,7.6856,87.627
04-10-2023,7.6644,87.3975
03-10-2023,7.6439,87.1175
02-10-2023,7.6885,87.575
29-09-2023,7.7352,88.0165
28-09-2023,7.6986,87.6395
27-09-2023,7.7031,87.6505
26-09-2023,7.7517,88.2995
25-09-2023,7.7728,88.377
22-09-2023,7.7766,88.2975
21-09-2023,7.7695,88.3718
20-09-2023,7.8059,88.9123
19-09-2023,7.8111,89.1438
18-09-2023,7.7796,88.8295
15-09-2023,7.7561,88.615
14-09-2023,7.8093,89.053
13-09-2023,7.8144,89.0805
12-09-2023,7.8115,88.826
11-09-2023,7.823,88.9735
08-09-2023,7.8565,88.861
07-09-2023,7.8488,89.0955
06-09-2023,7.8476,89.341
05-09-2023,7.838,89.0965
04-09-2023,7.8528,89.3045
01-09-2023,7.8679,89.697
31-08-2023,7.9196,89.9293
30-08-2023,7.9347,90.0188
29-08-2023,7.88,89.4335
28-08-2023,7.8822,89.304
25-08-2023,7.8783,89.304
24-08-2023,7.8934,89.5195
23-08-2023,7.8796,89.3258
22-08-2023,7.9387,90.322
21-08-2023,7.9456,90.6615
18-08-2023,7.9197,90.2825
17-08-2023,7.9387,90.4995
16-08-2023,7.9657,90.8435
15-08-2023,7.9605,91.0615
14-08-2023,7.9356,90.818
11-08-2023,7.9584,91.097
10-08-2023,7.9434,91.0983
09-08-2023,7.903,90.8795
08-08-2023,7.895,90.6614
07-08-2023,7.8976,90.8738
04-08-2023,7.8661,90.73
03-08-2023,7.8397,90.4965
02-08-2023,7.8829,90.675
01-08-2023,7.862,90.2555
31-07-2023,7.8808,90.669
28-07-2023,7.8799,90.501
27-07-2023,7.951,91.1385
26-07-2023,7.9109,90.7231
25-07-2023,7.8915,90.4445
24-07-2023,7.9749,90.78
21-07-2023,7.986,91.175
20-07-2023,8.024,91.781
19-07-2023,8.1014,92.1095
18-07-2023,8.0745,92.3335
17-07-2023,8.0457,92.1073
14-07-2023,8.0076,92.1985
13-07-2023,8.0098,91.7935
12-07-2023,7.9274,90.7173
11-07-2023,7.9143,90.5655
10-07-2023,7.9291,90.4985
07-07-2023,7.8773,90.0465
06-07-2023,7.882,89.849
05-07-2023,7.8798,89.5175
04-07-2023,7.8646,89.358
03-07-2023,7.9007,89.3225
30-06-2023,7.8983,89.2065
29-06-2023,7.914,89.7065
28-06-2023,7.9262,89.7465
27-06-2023,7.8976,89.7945
26-06-2023,7.8972,89.5565
23-06-2023,7.8141,89.2205
22-06-2023,7.8866,90.03
21-06-2023,7.8519,89.5765
20-06-2023,7.8462,89.7525
19-06-2023,7.8182,89.5125
16-06-2023,7.81,89.7953
15-06-2023,7.7491,88.9825
14-06-2023,7.7363,88.6945
13-06-2023,7.7167,88.863
12-06-2023,7.6888,88.733
09-06-2023,7.6839,88.89
08-06-2023,7.6541,88.617
07-06-2023,7.6235,88.416
06-06-2023,7.604,88.2295
05-06-2023,7.6062,88.3255
02-06-2023,7.6065,88.638
01-06-2023,7.6066,88.207
31-05-2023,7.5926,88.34
30-05-2023,7.599,88.7985
29-05-2023,7.582,88.52
26-05-2023,7.5874,88.8049
25-05-2023,7.5891,88.8055
24-05-2023,7.6005,89.1473
23-05-2023,7.6039,89.2675
22-05-2023,7.6067,89.671
19-05-2023,7.5766,89.4215
18-05-2023,7.5983,89.2915
17-05-2023,7.5762,89.1878
16-05-2023,7.5793,89.4655
15-05-2023,7.5621,89.499
12-05-2023,7.5722,89.52
11-05-2023,7.5817,89.6905
10-05-2023,7.5818,89.8185
09-05-2023,7.5853,89.9495
08-05-2023,7.6347,90.2775
05-05-2023,7.6112,90.001
04-05-2023,7.6538,90.5495
03-05-2023,7.633,90.3465
02-05-2023,7.5791,89.7515
